credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default,Default_Prob_Logistic_Regression,Expected_Loss_Logistic_Regression,Default_Prob_Decision_Tree,Expected_Loss_Decision_Tree,Default_Prob_Random_Forest,Expected_Loss_Random_Forest
0,4592.073995,6884.669701,93072.19803,4,659,0,6.647151991528672e-11,2.7471792421000144e-07,0.0,0.0,0.0,0.0
0,1398.7475,430.5327412,43053.27412,6,624,0,1.1418851002601301e-10,1.4374880363484955e-07,0.0,0.0,0.0,0.0
0,1548.918763,1946.248725,30885.56494,3,605,0,1.2629403511777231e-06,0.001760572805840086,0.0,0.0,0.0,0.0
0,4639.071199,5395.092038,62492.13094,3,676,0,2.285917904266224e-08,9.544082321663892e-05,0.0,0.0,0.0,0.0
0,5020.13405,3107.615511,75516.35329,6,665,0,1.59443484314296e-12,7.203848981911544e-09,0.0,0.0,0.0,0.0
0,4633.315679,5162.774107,67679.42076,6,671,0,3.990010052220549e-11,1.6638278520888974e-07,0.0,0.0,0.0,0.0
3,3815.912903,16920.88357,72349.13999,4,699,0,0.7121311379140787,2445.6873580149645,0.0,0.0,0.405,1390.9002531435
0,4792.66748,4442.308605,58219.2604,2,720,0,5.346499343008082e-08,0.00023061594179768578,0.0,0.0,0.0,0.0
0,2587.029313,4131.668627,63236.22111,7,553,0,5.40133947546251e-11,1.2576081197237001e-07,0.0,0.0,0.005,11.6416319085
0,3815.773053,4200.687468,58757.99978,2,683,0,7.476687920147193e-08,0.0002567640986224945,0.0,0.0,0.0,0.0
0,3542.228939,588.1252029,58812.52029,5,662,0,2.103112785950118e-11,6.704736275136078e-08,0.0,0.0,0.0,0.0
5,3935.222352,25592.57225,74910.84801,4,568,1,0.9999999939330342,3541.700095312626,1.0,3541.7001167999997,1.0,3541.7001167999997
3,5165.514228,22721.88138,107222.5472,6,624,0,0.08594252497815362,399.54360200840813,1.0,4648.9628052,0.41,1906.0747501319997
0,6125.106522,5661.876677,80160.27901,1,739,0,1.1139792914901827e-08,6.140917641311511e-05,0.0,0.0,0.0,0.0
1,2387.185614,4548.608752,58647.94867,5,535,0,4.887142236720125e-07,0.0010499864076963061,0.0,0.0,0.0,0.0
1,3242.823829,8435.809283,77632.38291,6,650,0,9.394558987802018e-09,2.7418409773731454e-05,0.0,0.0,0.0,0.0
5,4588.995443,27871.19934,94149.6484,4,592,1,0.999999956202244,4130.0957178110675,1.0,4130.0958987,1.0,4130.0958987
1,5933.358207,12814.66596,110257.5518,4,550,0,2.867055277994741e-07,0.0015310139367251487,0.0,0.0,0.005,26.700111931500004
0,5782.196427,5342.360691,78197.60259,4,689,0,1.6164385223540128e-10,8.41190854357848e-07,0.0,0.0,0.0,0.0
0,5339.934142,3480.542065,82784.45423,5,653,0,4.201258538958759e-12,2.0190999520399422e-08,0.0,0.0,0.0,0.0
1,5139.446147,7784.205356,68254.00717,4,633,0,1.5595804927506398e-06,0.007213841958963274,0.0,0.0,0.0,0.0
0,3683.633262,5129.960453,46780.23429,2,682,0,1.697030099523169e-06,0.005626112869096845,0.0,0.0,0.0,0.0
1,4378.031167,9589.788481,80455.23196,3,617,0,6.092913769347686e-06,0.024007469742042858,0.0,0.0,0.0,0.0
3,3108.108906,10121.22764,54752.68822,4,689,0,0.1382647711417575,386.7677699145734,0.0,0.0,0.23,643.378543542
1,4007.655273,14558.64441,90084.90819,2,615,0,0.0005427087272687543,1.9574905432875676,0.0,0.0,0.03,108.206692371
